original_text,true_label,predicted_label_svm
kakak kaesang tolong bantu perkara orang orang live game dewasa buming tiktok mas tolong jera tolong jokowi game rusak anak bangsa zaman tiktok akses umur mas adik sekolah dasar tau game tolong mas mohon bantu tolong bantu banned game desawa seliwer live tiktok tolong efek jera orang orang suka live game kakak,bukan ujaran kebencian,bukan ujaran kebencian
longtext ala kakak kaesang,bukan ujaran kebencian,bukan ujaran kebencian
terima kasih presiden kakak ketua gas penuh menang,bukan ujaran kebencian,bukan ujaran kebencian
pers olo apik apik kakak ayo benah,bukan ujaran kebencian,bukan ujaran kebencian
ketua partai sim salabim zaman soeharto,bukan ujaran kebencian,bukan ujaran kebencian
mohon maaf darah darah versi darah versi nanah sih,bukan ujaran kebencian,bukan ujaran kebencian
hamil cantik,bukan ujaran kebencian,bukan ujaran kebencian
kursus tani suami camil sang pisang ya,bukan ujaran kebencian,bukan ujaran kebencian
kakak erina menang kuis kasih tau seru eh harap menang sy,bukan ujaran kebencian,bukan ujaran kebencian
tolong bikin rusak percaya masyarakat nyalon gub,ujaran kebencian,bukan ujaran kebencian
jos,bukan ujaran kebencian,bukan ujaran kebencian
kakak perempuan kakak keasang,bukan ujaran kebencian,bukan ujaran kebencian
kasihan ih hidup hujat,bukan ujaran kebencian,bukan ujaran kebencian
harap rakyat indonesia tlglah mundur muak klan kelg,bukan ujaran kebencian,ujaran kebencian
kakak nya anggur ya luang buat,ujaran kebencian,bukan ujaran kebencian
mimi lan mintuno,bukan ujaran kebencian,bukan ujaran kebencian
serah simbolis bpjs partai nol koma sdh akses badan selenggara jamin sosial gratis fasilitas tabrak tabrak salam kakak wani anak nya wiji tukul teman janji nya,bukan ujaran kebencian,bukan ujaran kebencian
mas lupa nya ya,bukan ujaran kebencian,bukan ujaran kebencian
suka kakak kaesang ibuk mama selamat hebat duniaa,bukan ujaran kebencian,bukan ujaran kebencian
serius baca lucu kasih kerja rumah ngitung,bukan ujaran kebencian,bukan ujaran kebencian
pohonny tumbang sesal hasil oksigen hirup,ujaran kebencian,bukan ujaran kebencian
obat laga masalah pasang suami istri langsung konsultasi,bukan ujaran kebencian,bukan ujaran kebencian
baywan ep ep ayo,bukan ujaran kebencian,bukan ujaran kebencian
p jokowi presiden best,bukan ujaran kebencian,bukan ujaran kebencian
enakanya hadir presiden,bukan ujaran kebencian,bukan ujaran kebencian
kakak erina kenan cek direct me age,bukan ujaran kebencian,bukan ujaran kebencian
suka dikomenan adem nyaman baca,bukan ujaran kebencian,bukan ujaran kebencian
mobil laju cucu,bukan ujaran kebencian,bukan ujaran kebencian
scalling mahal pakai uang rakyaat karang gigi garam laut,ujaran kebencian,ujaran kebencian
cielahh sosweet kali kakak kaesang colek kakak,bukan ujaran kebencian,bukan ujaran kebencian
ikut atur,ujaran kebencian,ujaran kebencian
bsok akhirat malaikat tuhan ya tau,bukan ujaran kebencian,bukan ujaran kebencian
senang anniversary,bukan ujaran kebencian,bukan ujaran kebencian
buku nikah ku terbang ku tanah suci amin,bukan ujaran kebencian,bukan ujaran kebencian
gayakin ah,bukan ujaran kebencian,bukan ujaran kebencian
ersofgun,bukan ujaran kebencian,bukan ujaran kebencian
pilek kakak,bukan ujaran kebencian,bukan ujaran kebencian
terima kasih,bukan ujaran kebencian,bukan ujaran kebencian
kakak info kaos partai,bukan ujaran kebencian,bukan ujaran kebencian
bisnis cover doang coba cek bisnis sang pisang markobar rame,bukan ujaran kebencian,bukan ujaran kebencian
psi partai hebat,bukan ujaran kebencian,bukan ujaran kebencian
gemoy ms kaesang kasih kakak erina bungaa,bukan ujaran kebencian,bukan ujaran kebencian
lcggityu,bukan ujaran kebencian,bukan ujaran kebencian
minimal malu,ujaran kebencian,ujaran kebencian
cantik kakak erina kayak anak perempuan mbak cantik iibunya,bukan ujaran kebencian,bukan ujaran kebencian
kakak erina semenjak hamil cantik tambah,bukan ujaran kebencian,bukan ujaran kebencian
tuhan kaget,bukan ujaran kebencian,bukan ujaran kebencian
moga keluarga nya kakak kaesang kanjeng ratu kakak erina gudono sakinah mawadah amien,bukan ujaran kebencian,bukan ujaran kebencian
enak usaha jabat uang nya eh ikut politis keluarga mencla mencle,ujaran kebencian,ujaran kebencian
semangat mas,bukan ujaran kebencian,bukan ujaran kebencian
gara gara wanita ulah nama keluarga sederhana aib keluarga jaga bongkar,ujaran kebencian,ujaran kebencian
halo kakak ersofgun,bukan ujaran kebencian,bukan ujaran kebencian
mehong kali tas nya kakak selebriti,bukan ujaran kebencian,bukan ujaran kebencian
anak kampanye,bukan ujaran kebencian,bukan ujaran kebencian
prestasi jual sang pisang,bukan ujaran kebencian,bukan ujaran kebencian
kolom komentar ribut haha goblok,bukan ujaran kebencian,bukan ujaran kebencian
roti rb mbak enak aoka,bukan ujaran kebencian,bukan ujaran kebencian
sehat sehat presiden ku,bukan ujaran kebencian,bukan ujaran kebencian
barokallah mas titip jaga negara satu republik indonesia mas,bukan ujaran kebencian,bukan ujaran kebencian
lawan,bukan ujaran kebencian,bukan ujaran kebencian
gambar terang pasang calon gila aja mentang mentang anak kuasa,ujaran kebencian,bukan ujaran kebencian
sehat sukses kakak,bukan ujaran kebencian,bukan ujaran kebencian
keren banget erina congrats,bukan ujaran kebencian,bukan ujaran kebencian
slide mbk erina kakak kaesang ya,bukan ujaran kebencian,bukan ujaran kebencian
partai nol koma,bukan ujaran kebencian,bukan ujaran kebencian
kakak sayang ono mas,bukan ujaran kebencian,bukan ujaran kebencian
tarik terjun dunia politik haha,ujaran kebencian,bukan ujaran kebencian
tau kakak,bukan ujaran kebencian,bukan ujaran kebencian
kakak kakak mu katut mas ngudang biyen,bukan ujaran kebencian,bukan ujaran kebencian
bayinyaa lo kasih uang haram,ujaran kebencian,ujaran kebencian
sayang bare naked wajah true beauty,bukan ujaran kebencian,bukan ujaran kebencian
kalah thoriq anak bang thoriq haji anak kandung haji,bukan ujaran kebencian,bukan ujaran kebencian
kumise kiy kakak,bukan ujaran kebencian,bukan ujaran kebencian
kadang mikir orang ujar benci salah ya bapaknyaa dukung anak ya pas bapknya presiden iri presiden coba presiden ya nama previlege orang tua nnti previlege anak pandang negatif doang heran warganet wkwk,bukan ujaran kebencian,bukan ujaran kebencian
do untuk suamikuh,bukan ujaran kebencian,bukan ujaran kebencian
sumatra selatan kakak lupa,bukan ujaran kebencian,bukan ujaran kebencian
harap doa doa langit kabul ibadah tenang khusyuk sehat kakak calon dedek bayi sukses moga bisnis lancar kembang berkah,bukan ujaran kebencian,bukan ujaran kebencian
nya matador banteng ha ha kiki komedian tingkat dewa,bukan ujaran kebencian,bukan ujaran kebencian
langgeng kakak kakak,bukan ujaran kebencian,bukan ujaran kebencian
asalbukan,bukan ujaran kebencian,bukan ujaran kebencian
minimal sikat su tuo kok ndeso,ujaran kebencian,ujaran kebencian
kaesweet,bukan ujaran kebencian,bukan ujaran kebencian
proses kayak admin instand,bukan ujaran kebencian,bukan ujaran kebencian
kakak erina lihat video gunawarman,bukan ujaran kebencian,bukan ujaran kebencian
pertamax,bukan ujaran kebencian,bukan ujaran kebencian
bentar captionnya kang,bukan ujaran kebencian,bukan ujaran kebencian
allah maha dengar suara rakyat,bukan ujaran kebencian,ujaran kebencian
serasi,bukan ujaran kebencian,bukan ujaran kebencian
ngelawak,bukan ujaran kebencian,bukan ujaran kebencian
pinggir jalan tulis kerja ngelamar situ aja,bukan ujaran kebencian,bukan ujaran kebencian
orang logika paham iriana urut nmor mantap mortalitas kakak bro,bukan ujaran kebencian,bukan ujaran kebencian
iya mas jok anu,bukan ujaran kebencian,bukan ujaran kebencian
senang aniversary kakak erina kakak kaesang bahagia lahir batin dunia akhirat,bukan ujaran kebencian,bukan ujaran kebencian
penghianat konstitusi mahkamah keluarga,ujaran kebencian,ujaran kebencian
psi ambang lolos senayan coba kampanye nya bekal buku tulis gambar jokowi kaesang,bukan ujaran kebencian,bukan ujaran kebencian
kakak kaesang tangsel kah peer nya jg beti depok,bukan ujaran kebencian,bukan ujaran kebencian
tau psi mas semangat,bukan ujaran kebencian,bukan ujaran kebencian
a alamualaikum wr wb selamat hamil anak pertama kakak kakak moga sehat lancar amin cerita juang garis anak anak umur th alhmdulilah anak sholihah suami ldm beda pulau tinggal kampung mertua orang tua tinggal tinggal umur tinggal sakit kanker meni orang tua meni ada kua batas biaya urus adik sekolah cerita benjol payudara operasi qadarullah muncul keluarga riwayat turun usaha pola hidup sehat kurang stres urus anak bantu mudah uang butuh uang coba sabar takdir allah juang garis garis uji mampu ekonomi anak anak uji lulus masyaallah orang tua butuh orang tua apa daya mertua sibuk pekerjaanya jam urus anak bayi ubah hidup iman moga orang tua ajar,bukan ujaran kebencian,bukan ujaran kebencian
saksi bareng bareng ya teman akhirat keluarga orang resah memporak porandakan hati rakyat indonesia rusak tatanan negara,ujaran kebencian,ujaran kebencian
minimal umur,ujaran kebencian,ujaran kebencian
way sorry tau turun bb gimana kesal ejek gendut tetangga,bukan ujaran kebencian,bukan ujaran kebencian
mambu kelek,ujaran kebencian,bukan ujaran kebencian
anak presiden suka selonong tenang pimpin negara rakus banget mas,ujaran kebencian,bukan ujaran kebencian
wangi sih balon,ujaran kebencian,bukan ujaran kebencian
undang undang,bukan ujaran kebencian,bukan ujaran kebencian
gak,bukan ujaran kebencian,bukan ujaran kebencian
fokus ibadah aja unggah babynya kakak kaesang,bukan ujaran kebencian,bukan ujaran kebencian
mu kakak zalim rakyat kuasa firaun lenyap kuasa sampean jadi ajar keluarga kakak,ujaran kebencian,ujaran kebencian
haha huhu,bukan ujaran kebencian,bukan ujaran kebencian
cewek iya,bukan ujaran kebencian,bukan ujaran kebencian
bismillah doa baik anak sehat tumbuh anak sholiha angkat derajat orangtuanya lunas hutang suami timang anak momong sebab hamil insyaallah moga mohon doa ya kakak,bukan ujaran kebencian,bukan ujaran kebencian
kakak ganti sound nya milik sound angkuh,ujaran kebencian,ujaran kebencian
anak anak lucu,bukan ujaran kebencian,bukan ujaran kebencian
titip bendera merah kakak kaesang mudah mudah bantu masuk k kabinet presiden pilih dukung beliau jokowi alam tekon spora prov kalimantan moga bantu,bukan ujaran kebencian,bukan ujaran kebencian
tahap ikhlas moga bahagia nular pgd,bukan ujaran kebencian,bukan ujaran kebencian
mk kalah,bukan ujaran kebencian,bukan ujaran kebencian
mawar lawan lawan sang lawan grup mawar,bukan ujaran kebencian,bukan ujaran kebencian
juang garis kakak mb apa lalu ihtiar mana jalan kakak mb kenan umrah nya doa kabah diijabah hajat nya pasrah juang mana moga allah mudah suami ibadah madinah moga hajat kabul,bukan ujaran kebencian,bukan ujaran kebencian
foya foya sengsara,ujaran kebencian,bukan ujaran kebencian
guru motoin lupa,bukan ujaran kebencian,bukan ujaran kebencian
istri mu istri ku,bukan ujaran kebencian,bukan ujaran kebencian
habis pikir kakak kaesang menomorduakan kandung cah gendeng,bukan ujaran kebencian,bukan ujaran kebencian
negara mantu cantik,bukan ujaran kebencian,bukan ujaran kebencian
kakak cantik sekali,bukan ujaran kebencian,bukan ujaran kebencian
sadar banget,bukan ujaran kebencian,bukan ujaran kebencian
budak cinta kakak,bukan ujaran kebencian,bukan ujaran kebencian
cie cie hem,bukan ujaran kebencian,bukan ujaran kebencian
kakak erina,bukan ujaran kebencian,bukan ujaran kebencian
kakak kaesang harga smuanya meni yg iya istri njut mertua wis sip dah moga sehat,bukan ujaran kebencian,bukan ujaran kebencian
ya allah maha bolak balik hati balik hati hati hamba integritas teguh iman baik tulus taat atur buruk buruk lingkung tumbuh engkau maha jaga sih hati sih hati ambisi sakit takut dunia sadar sadar dunia akhirat,bukan ujaran kebencian,bukan ujaran kebencian
sok sweet sih guyonane kilob,bukan ujaran kebencian,bukan ujaran kebencian
enak ya tutup mata indonesia derita,ujaran kebencian,bukan ujaran kebencian
ketua kekayaananya miliar miliar,bukan ujaran kebencian,bukan ujaran kebencian
baca tertawa,bukan ujaran kebencian,bukan ujaran kebencian
nikah juli tunggu ajaib momong usia muda th doa juang karunia x promil qadarullah sabar dokter alternatif percaya jawa jalan adik hamil sabar berat adik ipar hamil anak sebnrnya syok suami adik ibukku besar hati adik ipar hamil sedih no cares about punya feeling tugas anak perempuan fortre keluarga harap teru doa moga allah kenan beri suami turun,bukan ujaran kebencian,bukan ujaran kebencian
pacar iya,bukan ujaran kebencian,bukan ujaran kebencian
enak ya anak presiden,bukan ujaran kebencian,bukan ujaran kebencian
bapaklo presiden ketua psi pengaruh pabaklo,bukan ujaran kebencian,bukan ujaran kebencian
kakak erina samping almrhum nike ardila,bukan ujaran kebencian,bukan ujaran kebencian
selamat ya kakak kaesang jaga istri cinta hamil muda,bukan ujaran kebencian,bukan ujaran kebencian
lawan lawan perintah lawan rakyat,ujaran kebencian,ujaran kebencian
serius kerja ya berangkat haji pakai uang pajak sungguh rida keringat siang malam situ,bukan ujaran kebencian,bukan ujaran kebencian
andake,bukan ujaran kebencian,bukan ujaran kebencian
sosweet bgt,bukan ujaran kebencian,bukan ujaran kebencian
captionnya,bukan ujaran kebencian,bukan ujaran kebencian
moga momong ikat kontrak hamil mba,bukan ujaran kebencian,bukan ujaran kebencian
masya allah dandan teh meni douli,bukan ujaran kebencian,bukan ujaran kebencian
ku depok ubah ya kota tante tante ku tinggal,bukan ujaran kebencian,bukan ujaran kebencian
sehat sukses bahagia kaesang keluarga tetap semangat tuhan berkat,bukan ujaran kebencian,bukan ujaran kebencian
info lowong kerja kakak rin,bukan ujaran kebencian,bukan ujaran kebencian
langgeng ya salah fokus deh bada kakak bagus rahasia ka,bukan ujaran kebencian,bukan ujaran kebencian
nebeng kakak erina amerika,bukan ujaran kebencian,bukan ujaran kebencian
eh lololo,ujaran kebencian,bukan ujaran kebencian
coba wali kota cirebon inspirasi guru tk paud ra guru yg honor nya tampung sekolah guru bimbing enak tunjang s,bukan ujaran kebencian,bukan ujaran kebencian
masaallah cantik nya,bukan ujaran kebencian,bukan ujaran kebencian
cantik kakak erina,bukan ujaran kebencian,bukan ujaran kebencian
anggun,bukan ujaran kebencian,bukan ujaran kebencian
mobio ferari iya ih wkwk,bukan ujaran kebencian,bukan ujaran kebencian
pakai uang pribadi uang negara,ujaran kebencian,ujaran kebencian
masyaallah,bukan ujaran kebencian,bukan ujaran kebencian
istri,bukan ujaran kebencian,bukan ujaran kebencian
katolik gabung sih umrah nya roma vatikan kakak cantik tuhan ble your fam,bukan ujaran kebencian,bukan ujaran kebencian
alhamdulilah masyaallah tabarakallah selamat kakak mb moga anak kandung sehat jiwa raga kakak erina lancar tm tm proses lahir senang ber umrah bikin umum kabah langsung masyaallah moga sehat bayi amin ya rabi,bukan ujaran kebencian,bukan ujaran kebencian
ketua partai cepat anak presiden,bukan ujaran kebencian,bukan ujaran kebencian
tanggap ketua partai diskualifikasi kota kabupaten jawa,bukan ujaran kebencian,bukan ujaran kebencian
lupa salat jumat kakak kaesang biar gubernur jakarta,bukan ujaran kebencian,bukan ujaran kebencian
isi surat mohon tempur haha keren bro,bukan ujaran kebencian,bukan ujaran kebencian
maju cagup please,bukan ujaran kebencian,bukan ujaran kebencian
sumber kuat kakak kaesang ya kakak erina istri utama,bukan ujaran kebencian,bukan ujaran kebencian
ipwko z i,bukan ujaran kebencian,bukan ujaran kebencian
salam diri kakak kaesang,bukan ujaran kebencian,bukan ujaran kebencian
aw,bukan ujaran kebencian,bukan ujaran kebencian
fir aun familys,ujaran kebencian,bukan ujaran kebencian
positif,bukan ujaran kebencian,bukan ujaran kebencian
adil je ica mala wongso kakak kaesang,bukan ujaran kebencian,bukan ujaran kebencian
menang alat akat negara wakanda konoha santai wlpn langgar atur hujat sewakanda gppkrn menang dkg irg orang dijamjikan seman kako orang orang untung privilledge,ujaran kebencian,bukan ujaran kebencian
partaine bojomu mbak ra genah ngece sistem perintah diy gek wing macet neng semarang bus wkwk mantap tenann,ujaran kebencian,bukan ujaran kebencian
minimal sadar emban amanah zalim rakyat penting pribadi,ujaran kebencian,ujaran kebencian
derek bungah ngih kakak erin lan kakak kaesang sehat langgeng nikah,bukan ujaran kebencian,bukan ujaran kebencian
iriana kakak erina cantik,bukan ujaran kebencian,bukan ujaran kebencian
batas mu presiden hak muda tua pilih rakyat worry ya sadar apple,bukan ujaran kebencian,bukan ujaran kebencian
suruh scalling suami,ujaran kebencian,bukan ujaran kebencian
meuteung iya mba e sehat iya kabehane,bukan ujaran kebencian,bukan ujaran kebencian
patih kakak kaesang maju angkat dorong masak sembunyi sejarah hayam wuruk angakat raja usia jaya raja majapahit satu nusantara,bukan ujaran kebencian,bukan ujaran kebencian
tabur tuai nyata dunia akhirat tuhan tidur,bukan ujaran kebencian,bukan ujaran kebencian
bismillah moga kakak erina keluarga sehat lindung lancar salin kakak erina sehat selamat bayi aamiin pribadi moga lancar nya mudah rezeki sehat keluarga aamiin insyaallah bangun rumah kakak erina doa lancar ya kakak halang apa amin,bukan ujaran kebencian,bukan ujaran kebencian
sehat umur kakak kaesang keluarga,bukan ujaran kebencian,bukan ujaran kebencian
definisi cantik ala ala putri keraton kakak erina,bukan ujaran kebencian,bukan ujaran kebencian
masyaallah selamat hamil mb moga sehat lancar besok lahir sehat bayi allahumma barik bismillah harap hadiah kakak mb moga tambah semangat ibadah allah subhanahu whatsapp taala jalan hidup dunia penuh uji anak putri rumah tangga th mei kemarin anniversary th tinggal suami hati setia alhamdulillah harap moga keluarga khusyuk tenang ibadah hidup tenang bahagia kuat jalan uji hidup rumah tangga didik putri anak sholehah dunia akhirat amin,bukan ujaran kebencian,bukan ujaran kebencian
ayo gaspoll kakak ketua,bukan ujaran kebencian,bukan ujaran kebencian
tw suka couple,bukan ujaran kebencian,bukan ujaran kebencian
air softgun,bukan ujaran kebencian,bukan ujaran kebencian
nya ajak war,bukan ujaran kebencian,bukan ujaran kebencian
anak presiden haus kuasa malu ya gk bahaya ta,ujaran kebencian,ujaran kebencian
ersofgun,bukan ujaran kebencian,bukan ujaran kebencian
habis senang,bukan ujaran kebencian,bukan ujaran kebencian
konyol,ujaran kebencian,bukan ujaran kebencian
uhuy,bukan ujaran kebencian,bukan ujaran kebencian
cih,ujaran kebencian,ujaran kebencian
kakak kaesang persis solo kalah pripun kakak,bukan ujaran kebencian,bukan ujaran kebencian
ceper egoo lu,ujaran kebencian,bukan ujaran kebencian
doa ku sehat bahagia penuh berkah amin ya allah amin allahuma amin ya allah,bukan ujaran kebencian,bukan ujaran kebencian
kader sekolah dasar ya ms payuu,bukan ujaran kebencian,bukan ujaran kebencian
cantik aura hamil,bukan ujaran kebencian,bukan ujaran kebencian
malas baca nya,bukan ujaran kebencian,bukan ujaran kebencian
ketua jalan pintas anak presiden ya,bukan ujaran kebencian,bukan ujaran kebencian
motoa,bukan ujaran kebencian,bukan ujaran kebencian
nebeng ya,bukan ujaran kebencian,bukan ujaran kebencian
anak muda malu terang terang ortunya anak muda zaman ya,ujaran kebencian,bukan ujaran kebencian
kasihan anak kasih makan uang haram,ujaran kebencian,ujaran kebencian
enak ya anak presiden,bukan ujaran kebencian,bukan ujaran kebencian
jajah,ujaran kebencian,bukan ujaran kebencian
ma kaesang tonton kakak nya ya,bukan ujaran kebencian,bukan ujaran kebencian
moga hamil tular th tunggu moga mb erina sehat lahir sehat baby amin amin,bukan ujaran kebencian,bukan ujaran kebencian
tau malu sih,ujaran kebencian,ujaran kebencian
titip stroller lengkap anak baby ayo murah acara mom baby fair,bukan ujaran kebencian,bukan ujaran kebencian
tau anak jokowi gak prestasi,bukan ujaran kebencian,bukan ujaran kebencian
komen sakit hati keluarga,ujaran kebencian,bukan ujaran kebencian
ya lumyanlah senyum sendry jls,bukan ujaran kebencian,bukan ujaran kebencian
slide kakak kaesang anak cilik dinasehatin mama,bukan ujaran kebencian,bukan ujaran kebencian
ng sayang istri sempurna erina perempuan laki istri erina lembut manis pinter ibu ng kekanak an moga bahagia iya,bukan ujaran kebencian,bukan ujaran kebencian
tonton dirty vote mu main utama nya,bukan ujaran kebencian,bukan ujaran kebencian
cfa chartered financial analyst sulit keren erina cantik pintar moga lancar lulus level ya,bukan ujaran kebencian,bukan ujaran kebencian
no ferari mas yg tren rubicon,bukan ujaran kebencian,bukan ujaran kebencian
ah tau ah,bukan ujaran kebencian,bukan ujaran kebencian
terlove,bukan ujaran kebencian,bukan ujaran kebencian
anak presiden pedangang pisang goreng bangkrut,ujaran kebencian,bukan ujaran kebencian
cfa kaesang,bukan ujaran kebencian,bukan ujaran kebencian
kakak ayang,bukan ujaran kebencian,bukan ujaran kebencian
awokaowk,bukan ujaran kebencian,bukan ujaran kebencian
sehat keluarga jokowi kakak erina aamiin,bukan ujaran kebencian,bukan ujaran kebencian
couple goals impi moga senang tebar aura positif ya kakak mba,bukan ujaran kebencian,bukan ujaran kebencian
masyaallah tabrakaallah moga adik bayi sehat lahir lengkap bahagia rumah tangga kakak kaesang kakak erina aamin harap moga anak kembar terima sekolah dasar negeri tuju moga hpl anak tiga ku september bayi sehat selamat umur kurang satu aamin moga rezeki hamil souvernir sajadah couple kakak kaesang kakak erina ibadah jujur jadah itu tinggal almarhumah moga salah orang untung sajadah ibadah amin allahhuma aamin sehat lancar rezeki kakak,bukan ujaran kebencian,bukan ujaran kebencian
presiden gue,bukan ujaran kebencian,bukan ujaran kebencian
mana wkwkkwkwk,bukan ujaran kebencian,bukan ujaran kebencian
nebeng amerika,bukan ujaran kebencian,bukan ujaran kebencian
ojek daring kuru kuru kakak mengko ketok enom imut ra bar bar salam istri keluarga moga sehat,bukan ujaran kebencian,bukan ujaran kebencian
kakak eer cantik bangeet,bukan ujaran kebencian,bukan ujaran kebencian
aduh ame visi misi rosting bini nepotisme usia calon presiden wakil presiden bilang jamnnya kerja bapak bilang dasar ndeso dasar ndeso,ujaran kebencian,ujaran kebencian
keren pakai nya,bukan ujaran kebencian,bukan ujaran kebencian
bayar kakak sehat sehat ya juang bangsa,bukan ujaran kebencian,bukan ujaran kebencian
ya gabung partai pagi bangun amanat ketua,ujaran kebencian,bukan ujaran kebencian
produk punya bikin orang pesona,bukan ujaran kebencian,bukan ujaran kebencian
wkwkwwkwkwk,bukan ujaran kebencian,bukan ujaran kebencian
komen aneh aneh wajar presiden wejang partai ketua anak prabowo gibran,bukan ujaran kebencian,bukan ujaran kebencian
tau mas,bukan ujaran kebencian,bukan ujaran kebencian
moga sehat ya,bukan ujaran kebencian,bukan ujaran kebencian
anak muda,bukan ujaran kebencian,bukan ujaran kebencian
